left_side,right_side,similarity
Daughters Of Charity Administrator St Josephs Apt 5 Clonsilla ,Daughters Of Charity Administrator St Josephs Apt 2 Clonsilla ,0.9038021051778968
Daughters Of Charity Administrator St Josephs Apt 5 Clonsilla ,Daughters Of Charity Administrator St Josephs Apt 3 Clonsilla ,0.9019156600526863
Daughters Of Charity Administrator St Josephs Apt 5 Clonsilla ,Daughters Of Charity Administrator St Josephs Apt 6 Clonsilla ,0.9019156600526863
Phibsboro,Phibsboro,1.0000000000000002
Santry,Santry,1.0000000000000004
School,School,1.0
Dundrum,Cfe Dundrum,0.7517155110745686
The Royal Hospital,Royal Hospital,0.911338991006368
Boiler House,Boiler House,1.0000000000000002
Thomas Court,Thomas Court,1.0
Glasnevin,Glasnevin,1.0
Finglas,Finglas,1.0
School,School,1.0
3 Hillcrest Templeogue,3 Hillcrest Templeogue,1.0
Dublin,Dublin,1.0
Drumcondra Library,Drumcondra Library,0.9999999999999999
4Th Floor Swift Square Santry,Swift Square Santry,0.7864007571750098
Clondalkin,Clondalkin Intreo Ninth Lock Rd  Clondalkin,0.738903936377371
