left_side,right_side,similarity
Daughters Of Charity  Intellectual Disability Services,Daughters Of Charity  Intellectual Disability Services,1.0
South Dublin County Council,South Dublin County Council,1.0000000000000002
Dublin City Council,Dublin City Council,0.9999999999999994
Hse,Hse,1.0
An Garda Siochana,An Garda Siochana,1.0
Fingal County Council,Fingal County Council,1.0
Dun Laoghaire Rathdown County Council,Dun Laoghaire Rathdown County Council,1.0000000000000002
St Michael'S House,St Michael'S House,1.0
Allied Irish Banks Plc,Allied Irish Banks Plc,0.9999999999999999
University College Dublin,University College Dublin,0.9999999999999996
Office Of The Comptroller And Auditor General,Office Of The Comptroller And Auditor General,0.9999999999999993
City Of Dublin Education And Training Board,City Of Dublin Education And Training Board,1.0000000000000004
Electricity Supply Board,Electricity Supply Board,1.0
Department Of Education And Skills,Department Of Education And Skills,1.0000000000000002
Dublin Institute Of Technology,Dublin Institute Of Technology,1.0000000000000002
Department Of Employment And Social Protection,Department Of Employment And Social Protection,0.9999999999999996
Dublin And Dun Laoghaire Education And Training Board,Dublin And Dun Laoghaire Education And Training Board,0.9999999999999998
Cheeverstown House,Cheeverstown House,0.9999999999999999
Mater Misericordiae University Hospital,Mater Misericordiae University Hospital,0.9999999999999999
Royal Hospital,Royal Hospital,0.9999999999999999
Daughters Of Charity  Child And Family Services,Daughters Of Charity  Child And Family Services,0.9999999999999996
Solas,Solas,1.0
Saint John Of God Community Services Clg,Saint John Of God Community Services Clg,1.0000000000000004
Digital Hub Development Agency,Digital Hub Development Agency,1.0000000000000002
Trinity College Dublin,Trinity College Dublin,0.9999999999999998
Revenue Commissioners,Revenue Commissioners,0.9999999999999997
Voluntary Health Insurance Board,Voluntary Health Insurance Board,1.0000000000000002
Eirgrid Plc,Eirgrid Plc,1.0
Institute Of Public Administration,Institute Of Public Administration,1.0
Daa Plc,Daa Plc,1.0
St Gabriels Ns,St Gabriels N S,0.9999999999999998
